video_id,group,status,video_path,features_path,events_path,evaluation_report_path,frames_peak_hand_speed_to_contact,frames_start_to_contact,frames_start_to_peak_hand_speed,hand_path_start_to_contact,head_movement_start_to_contact,hip_drift_start_to_contact,shoulder_angle_change_start_to_contact
aaron_judge_01,pro,success,data\raw\pros\aaron_judge_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\aaron_judge_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\aaron_judge_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\aaron_judge_01_evaluation.md,3,20,17,0.5903816376812756,0.04081226885318756,2.9802322387695312e-08,5.0921783447265625
acuna_jr_01,pro,success,data\raw\pros\acuna_jr_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\acuna_jr_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\acuna_jr_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\acuna_jr_01_evaluation.md,3,4,1,nan,nan,nan,nan
bryce_harper_01,pro,success,data\raw\pros\bryce_harper_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\bryce_harper_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\bryce_harper_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\bryce_harper_01_evaluation.md,3,28,25,0.5125973323592916,0.05714251473546028,0.0,140.61588954925537
freedie_freeman_01,pro,success,data\raw\pros\freedie_freeman_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\freedie_freeman_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\freedie_freeman_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\freedie_freeman_01_evaluation.md,3,132,129,1.3056764120119624,0.0652460977435112,3.332000986233652e-08,291.1010284423828
jose_altuve_01,pro,success,data\raw\pros\jose_altuve_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\jose_altuve_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\jose_altuve_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\jose_altuve_01_evaluation.md,2,32,30,1.1428250630269758,0.068926602602005,1.4901161193847656e-08,19.707611083984375
juan_soto_01,pro,success,data\raw\pros\juan_soto_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\juan_soto_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\juan_soto_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\juan_soto_01_evaluation.md,3,37,34,1.0928840182023123,0.04375474900007248,1.4901161193847656e-08,211.2609577178955
mike_trout_01,pro,success,data\raw\pros\mike_trout_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\mike_trout_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\mike_trout_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\mike_trout_01_evaluation.md,3,11,8,0.1844381656846963,0.017152957618236542,4.214684778958144e-08,45.65263366699219
mookie_betts_01,pro,success,data\raw\pros\mookie_betts_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\mookie_betts_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\mookie_betts_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\mookie_betts_01_evaluation.md,2,74,72,1.0801433035812806,0.01316351443529129,2.9802322387695312e-08,297.6279602050781
shohei_ohtani_01,pro,success,data\raw\pros\shohei_ohtani_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\shohei_ohtani_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\shohei_ohtani_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\shohei_ohtani_01_evaluation.md,3,11,8,0.5215627206489444,0.02865154668688774,2.9802322387695312e-08,169.32267379760742
vlad_jr_01,pro,success,data\raw\pros\vlad_jr_01.mp4,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\features\vlad_jr_01_features.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\data\processed\events\vlad_jr_01_events.json,C:\Users\Joseph\projects\baseball-swing-analysis-capstone\outputs\report\vlad_jr_01_evaluation.md,3,80,77,1.0818434766551945,0.10066162794828415,1.4901161193847656e-08,323.7165832519531
